MeV,cps/MeV
4.671800259,0.009228283429
4.704828433,0.00884519821
4.711489577,0.009615902312
4.712599768,0.01161058368
4.743685108,0.01556750351
4.746275553,0.0129441942
4.766135632,0.01071409983
4.794198786,0.007487279318
4.801970121,0.0120356335
4.809741456,0.00884519821
4.812763642,0.01012522187
4.855074243,0.009478978789
4.858700866,0.01121559604
4.884540555,0.008685019109
4.887454806,0.005831798418
4.896891427,0.01106482623
4.899111808,0.01347631752
4.90494031,0.007503717062
4.929086958,0.008815689197
4.93602565,0.006450001568
4.941854151,0.005856707889
4.944185552,0.007633176181
4.971644269,0.01060328748
4.974604777,0.009046984311
5.000139164,0.01368812502
5.005320054,0.007671961648
5.015681834,0.01165694806
5.019567501,0.009932984014
5.023453169,0.008879750258
5.034138754,0.006690112214
5.037053005,0.004214939302
5.038995839,0.004763165103
5.046767174,0.008768210601
5.062309844,0.01167727496
5.066972645,0.01134754477
5.107383587,0.004021111828
5.112823521,0.008175035289
5.116709189,0.00521329233
5.119299634,0.007742885857
5.120594856,0.006146200051
5.143908861,0.01208407786
5.156861086,0.009488222207
5.161782932,0.008440912228
5.163337199,0.007487279318
5.18354267,0.006751030198
5.198308207,0.0155069287
5.203304065,0.008245752437
5.203920837,0.01276047044
5.206079542,0.01004124042
5.217736544,0.006902734804
5.220326989,0.00521532523
5.221622212,0.005942962589
5.239107715,0.008962353278
5.255483028,0.0106922421
5.279907224,0.01066547764
5.283792892,0.009219306253
5.295449894,0.007522048581
5.299335562,0.009010526833
5.329125679,0.00642490393
5.334306569,0.005908309309
5.345963572,0.007458145522
5.35451204,0.008398707103
5.376271778,0.01136082472
5.377048912,0.01000098567
5.392591582,0.008342761687
5.404248584,0.006936263323
5.426591173,0.01008910089
5.42756259,0.01212984688
5.444076676,0.008403971181
5.462533597,0.006791950043
5.4741906,0.005317987435
5.475485822,0.01005964322
5.486624736,0.008560218296
5.48973327,0.01212984688
5.491287537,0.005949917596
5.497504605,0.01066547764
5.51045683,0.00618135324
5.528589945,0.006450001568
5.540246947,0.008742346651
5.557732451,0.007498233808
5.559675285,0.01261209227
5.562783819,0.009599848809
5.563560952,0.01082255353
5.570037065,0.006945928043
5.603194761,0.009954305992
5.607166777,0.008139286795
5.609633867,0.002990618845
5.610188962,0.01173446437
5.617960297,0.00616732194
5.6296173,0.00685624518
5.666531141,0.005388424429
5.674518347,0.007133462089
5.680908111,0.006487831969
5.694378425,0.004805344991
5.699559315,0.009488222207
5.703444983,0.01079095436
5.719764786,0.008168957842
5.72287332,0.006033426057
5.724427587,0.00546298821
5.754930077,0.004123511172
5.757844328,0.003552245401
5.760175728,0.003019237435
5.777272665,0.005412750449
5.781158333,0.006535432143
5.782924545,0.00781882414
5.785044,0.00946605313
5.802529504,0.004494991029
5.825195898,0.005195031848
5.830894877,0.006166000663
5.84721468,0.007292812636
5.854986015,0.008674444225
5.86042595,0.004467474348
5.874414353,0.003104262907
5.875191486,0.005188959245
5.875709575,0.006015811096
5.879410211,0.00392354921
5.901614026,0.004594655757
5.905499693,0.006732631167
5.921042363,0.005575217582
5.930478984,0.002988121421
5.932699366,0.003796106907
5.943061146,0.004768021536
5.956013371,0.00699302368
5.964756123,0.008453261959
5.967670373,0.005149659981
5.97044585,0.005868952916
5.979327376,0.009971785285
6.001346158,0.007686931557
6.002641381,0.003353738905
6.009635582,0.004551864668
6.010412716,0.009488222207
6.014298383,0.005172067835
6.015075517,0.006419896133
6.018184051,0.003298621619
6.025955386,0.002911727138
6.033726721,0.004283272461
6.064034927,0.006633622161
6.090716511,0.006001170304
6.091040317,0.008704086398
6.092011733,0.007479985217
6.112994338,0.004803471899
6.120321597,0.003120794178
6.12231994,0.004058913425
6.123097073,0.003566121557
6.125039907,0.00662199425
6.126982741,0.005605382651
6.150296746,0.002998123647
6.167393683,0.003731101426
6.168059797,0.004458525841
6.173610751,0.004247554648
6.177496419,0.005738050387
6.194704375,0.003027608894
6.216353094,0.00410079917
6.218295927,0.003577000009
6.233190986,0.003074472157
6.235781431,0.004672559349
6.243552766,0.007845890093
6.251324101,0.006388196162
6.257541169,0.005399464834
6.265756581,0.003881167468
6.279818996,0.004743300424
6.282409441,0.006758930882
6.290180776,0.003552245401
6.301837779,0.00305565137
6.305723446,0.005583571514
6.30745041,0.003926099492
6.32681707,0.00465259607
6.344580121,0.006301618482
6.347170566,0.007969204078
6.348465789,0.005349178372
6.349242922,0.003116104708
6.35925931,0.00376862469
6.360122791,0.002894748923
6.375665461,0.008214639104
6.383436797,0.003744216208
6.386767369,0.004738899447
6.395093799,0.005241916436
6.398979467,0.006325486159
6.426179139,0.00671028765
6.427844425,0.004436232914
6.446717667,0.003084505726
6.453378812,0.003641639881
6.461150147,0.002886296977
6.503892489,0.005140056531
6.505187712,0.003715134615
6.505557775,0.004953443395
6.507778157,0.003097934773
6.511663824,0.003409765787
6.551297633,0.003090696499
6.589377174,0.003587461875
6.591708575,0.004504200867
6.591967619,0.002974837008
6.632119517,0.003752262507
6.636005185,0.003857995275
6.679857718,0.004087497649
6.680301794,0.004747617348
6.688461696,0.002991555917
6.691958797,0.003486387748
6.717604202,0.007328864505
6.728484071,0.006026961981
6.729261205,0.004701811748
6.735922349,0.003318430642
6.764232212,0.003009835234
6.772003547,0.004021111828
6.773946381,0.005347419647
6.775112081,0.005237739522
6.782883416,0.003429764666
6.812803056,0.003031179216
6.832054772,0.003980275126
6.834174227,0.003419750607
6.838059895,0.00537531052
6.838837028,0.004692412271
6.858598423,0.003028331658
6.875621348,0.003222355181
6.875945153,0.003771686917
6.905226433,0.002955844066
6.915773245,0.004039968414
6.932093049,0.003445848191
6.93908725,0.002945982892
6.996400846,0.002980641656
7.000480797,0.003397822477
7.005143598,0.003939972836
7.0168006,0.005378733401
7.044000273,0.002877869708
7.096845351,0.002932232493
7.124627874,0.003414754547
7.129484958,0.003883782107
7.221186711,0.003227384295
7.238283648,0.002937381355
